Li_eGFR_500	Li_UACR_500	Li_eGFR_Monogenic	Li_UACR_Monogenic	Sheng_eGFR	Sheng_SBP	Sheng_Kidney_Function	Cippa_Acute_Injury	Cippa_Acute_Early_TF	Cippa_Acute_Mouse_Overlap	Cippa_Late_Fibrosis	Cippa_Late_Recovery	Cippa_Mid_Acute	Cippa_Late	Cippa_Late_Mouse_Overlap	Cippa_Late_TF	Cippa_Fibrosis_Branch	Cippa_Acute_Human_Specific	Cippa_Late_Human_Specific
																NAA35		
																NUP93		
																APOL3		
																CNOT11		
																WDR33		
																SNX14		
																IPO5		
																SLC22A5		
																CAPRIN1		
																RNF6		
																TBC1D20		
																ERGIC1		
																RSRC1		
																SMARCAL1		
																ZNF124		
																BRI3BP		
																GEMIN6		
																EIF4A3		
																TMED8		
																GATAD1		
																GDAP2		
																GLRX3		
																SEM1		
																PAFAH1B3		
																C2CD5		
																NUP98		
																AC004656.1		
																POLR3F		
																CYB561A3		
																AC058791.1		
																STK4		
																ABI3BP		
																DDR2		
																AC011477.2		
																SRPX2		
																SETBP1		
																PCDHB11		
																STK3		
																CEP57		
																TTC8		
																TRAM2		
																BUD13		
																AC008543.3		
																IDE		
																RAI14		
																ZBED5		
																RPS6KA3		
																DHX40		
																CHD1L		
																SLC38A4		
																BLOC1S5		
																CYB5D1		
																CSF2RA		
																AQR		
																MYLK		
																ZNF562		
																PRELP		
																TIMD4		
																EIF2S2		
																POMGNT2		
																N6AMT1		
																PTPN11		
																MAPKAPK3		
																CHMP4C		
																ZNF552		
																BTN3A3		
																NUP155		
																PILRA		
																DZIP3		
																FYTTD1		
																FCF1		
																FAM200A		
																RIPK1		
																PLBD2		
																ATG12		
																NNT.AS1		
																VRK2		
																CCDC6		
																TSR1		
																CAB39		
																DCTN4		
																SPG21		
																FRMD7		
																RCC2		
																DYNC1LI2		
																RBMS2		
																LZTFL1		
																AKIP1		
																DHX35		
																NBR2		
																TTC37		
																RNF216		
																UBXN10		
																RLF		
																OSBP		
																HNRNPA1		
																HSPA13		
																ZNF2		
																C4orf3		
																FBXO38		
																ESRP1		
																LRRC58		
																PIK3C2G		
																TRIM44		
																ARNT2		
																LGALSL		
																RAB15		
																TLR2		
																DROSHA		
																SLA		
																MFSD11		
																PAFAH1B1		
																GAREM1		
																SUSD1		
																COLGALT1		
																SRSF1		
																CASC3		
																STX3		
																HSPA4L		
																PLCL2		
																HAUS2		
																CDK20		
																SLC10A3		
																SUGT1		
																POLK		
																ALG6		
																GPATCH8		
																ARMCX5		
																TRAK1		
																RPL10P16		
																CAND1		
																NPAT		
																RUVBL2		
																FMOD		
																ZNF250		
																USP33		
																CKAP5		
																PDCD11		
																PDS5B		
																MKLN1		
																CISD1		
																CCNT2		
																DIS3L		
																KIAA1161		
																METTL5		
																UCK2		
																RABGAP1L		
																TUBA1C		
																LIMS1		
																SNRNP40		
																MTMR2		
																TRNT1		
																EIPR1		
																PDE7A		
																MATN2		
																WASHC4		
																RNFT1		
																LYN		
																GATB		
																OXSR1		
																LARP4B		
																GSTM2		
																SUPV3L1		
																SPIDR		
																GAPVD1		
																INPP1		
																PRICKLE2		
																HSD11B1		
																RFC4		
																C1orf131		
																SLC6A6		
																TIAL1		
																C2orf42		
																PTK2		
																ATG3		
																IPO7		
																IP6K1		
																RAB22A		
																DCAF10		
																GPATCH4		
																WDR89		
																INTS7		
																METTL2A		
																UMAD1		
																LYRM2		
																FEN1		
																NUP50		
																BAZ1B		
																RCAN3		
																NUP160		
																NCOA5		
																TLR3		
																DCLRE1C		
																ZNF611		
																DYM		
																ZNF761		
																NVL		
																KDM3B		
																SLC26A2		
																SSBP3		
																ANKRD10.IT1		
																TAF2		
																CC2D2A		
																GTF2H5		
																ANAPC7		
																RCHY1		
																GGA2		
																TPD52L1		
																DPYD		
																SMNDC1		
																GLIPR2		
																PLEKHA2		
																RPF2		
																BAZ2A		
																SNX19		
																BIRC6		
																TTC26		
																AC019080.4		
																PIGN		
																C1orf109		
																SLC30A6		
																RCL1		
																EMP2		
																ETF1		
																ZNF669		
																BX323845.3		
																PKN2		
																PTPA		
																MTSS1		
																UNC13B		
																KLHL9		
																NBR1		
																DENND2D		
																ZCCHC9		
																AFF1		
																SVIL.AS1		
																NFRKB		
																TGIF1		
																PHC2		
																SIRT2		
																MTX1		
																POLR3A		
																CCDC12		
																ELOF1		
																AC092868.1		
																TGM2		
																PARD3		
																BCL7B		
																MXI1		
																AC005034.3		
																BIN2		
																DPM2		
																DICER1		
																ZNF148		
																APH1B		
																ITPR2		
																EBNA1BP2		
																IARS2		
																CLSTN1		
																KLHDC10		
																AL121655.1		
																TRIQK		
																KXD1		
																TRAPPC6B		
																DCAF13		
																PCIF1		
																RNF213		
																RBBP7		
																TOMM70		
																WDR20		
																NCOA3		
																AC026877.1		
																ARL4C		
																TEAD1		
																USP8		
																TEFM		
																ASNS		
																CDADC1		
																VWF		
																SMG7		
																RACGAP1		
																KIAA0100		
																CEPT1		
																GCNT2		
																WRAP53		
																WDR5B		
																JPT2		
																RAD51C		
																GRPEL2		
																PTRH2		
																ATP5S		
																ZCCHC6		
																ARFGEF1		
																PRPSAP1		
																AC007228.2		
																WAPL		
																FBLN1		
																TERF2		
																COMMD3		
																NBAS		
																STX16		
																MAP3K2		
																CRYBG1		
																RAD50		
																H2AFV		
																PTPN14		
																RRAGC		
																RBM25		
																ZFP62		
																ZNF284		
																KRR1		
																AP5S1		
																KIAA0232		
																CYFIP1		
																STK16		
																CAMK2D		
																GEMIN2		
																ZMYM3		
																HNRNPA3		
																FRG1HP		
																CCDC89		
																ARID4B		
																VDAC2		
																C1orf56		
																IAH1		
																CXCR4		
																PLXDC2		
																ARL6		
																CHSY1		
																RC3H1		
																TRPS1		
																RASSF6		
																NXT2		
																MAPK1		
																ELP1		
																DDX19B		
																LRRC6		
																ZNF16		
																APPL1		
																NMT2		
																TOR1AIP1		
																PRPF18		
																DHX29		
																XPO5		
																HELQ		
																LTN1		
																ZNF671		
																FAM210B		
																WDR41		
																PRKDC		
																MED29		
																PRLR		
																C10orf35		
																ABCA5		
																RBMX2		
																SMAD3		
																NUDCD1		
																XPNPEP3		
																OFD1		
																SNX12		
																PVR		
																NEK1		
																KIF1BP		
																ANGEL1		
																NCOR1		
																ICAM2		
																ZNF160		
																TMEM39A		
																RNF216P1		
																TBCK		
																PIFO		
																MOB1B		
																UBE3C		
																HINFP		
																HARBI1		
																SETMAR		
																TNFAIP8L2		
																LRRC41		
																UBE2R2		
																RPP40		
																EIF4G3		
																NCBP1		
																ZNF18		
																LIN7A		
																RNF219		
																ZNF12		
																LINC00324		
																ZNF226		
																VMA21		
																ELK4		
																NRBP1		
																ANKRD54		
																AP001528.1		
																GNPNAT1		
																LLPH		
																NCF2		
																OARD1		
																BTRC		
																NAA25		
																TIMM8A		
																JOSD1		
																NDN		
																WDR31		
																PCYT1A		
																MITD1		
																BTN2A2		
																RNU4ATAC18P		
																SIN3A		
																PBRM1		
																PKD2		
																ADNP2		
																AC093278.2		
																PDIK1L		
																TRAV21		
																CCDC93		
																FXR1		
																PREP		
																PAK2		
																HDAC3		
																TRAF3IP2		
																ZUFSP		
																SLC41A3		
																AC013275.1		
																KIAA1143		
																AKTIP		
																UBFD1		
																PIK3R3		
																TRAF6		
																FNTB		
																COG1		
																PHIP		
																ERAP1		
																UTP14C		
																PLEKHO2		
																RERE		
																REST		
																LUZP1		
																ALG11		
																ZNF615		
																JAM3		
																RNASEH2A		
																RAB3GAP2		
																MRPL45		
																DDX42		
																STPG1		
																CRADD		
																THAP6		
																MSH2		
																MTUS1		
																ZC3H11A		
																CCDC82		
																FAM35A		
																POC5		
																RAB6A		
																ARMCX6		
																SLC35E1		
																ZNF542P		
																RAB3IP		
																TMCC3		
																AASDH		
																MYO10		
																AEBP1		
																DCTN3		
																SH3GLB1		
																NEPRO		
																PSMD12		
																STAT5B		
																ISY1		
																CENPBD1P1		
																RUFY1		
																ETV6		
																ZC4H2		
																USP28		
																ARSG		
																MDM2		
																PLA2G4C		
																RBM41		
																ZNF195		
																ACSL3		
																SP100		
																FAM103A1		
																ANAPC15		
																BCOR		
																GSPT1		
																ZHX2		
																MAP3K21		
																MTMR6		
																ZNF33B		
																SLC12A6		
																TM4SF4		
																TLR1		
																TWF1		
																FAM49B		
																MFAP3		
																CENPC		
																RHPN2		
																TBC1D5		
																COA1		
																CDK9		
																USP14		
																WDR36		
																RNMT		
																LINC01963		
																PLCB4		
																NAA15		
																C3orf14		
																AMN1		
																TPD52		
																ADCY6		
																KIN		
																ERLIN1		
																SAYSD1		
																TAGLN2P1		
																TPP2		
																ZHX3		
																HERC1		
																PRIM1		
																DET1		
																MTMR9		
																SMIM8		
																FNBP1		
																GOLGA5		
																HACD2		
																SMARCC2		
																NUFIP2		
																ARFGEF2		
																EIF3J.AS1		
																CLUHP3		
																CD37		
																GCN1		
																PTPRB		
																STK36		
																CUL4B		
																NDC1		
																ZMYND8		
																FEM1B		
																MAGI3		
																FAM208A		
																ISM1		
																ANKS1A		
																ATG7		
																MRPS18C		
																PTPN2		
																COMMD4		
																MCPH1		
																MAPK14		
																PNMA2		
																CASP9		
																USP47		
																FAIM		
																IRGQ		
																MRPL9		
																ARHGAP5.AS1		
																RNU6.460P		
																SDE2		
																SUDS3		
																GPKOW		
																MXD1		
																RBM19		
																TSPAN14		
																TMCC1		
																COG5		
																VEZT		
																ZNF700		
																USPL1		
																BBS9		
																TSEN2		
																ZNF684		
																EGFR		
																DNAJC18		
																SPTLC3		
																PMF1		
																ZNF34		
																ACVRL1		
																SH3KBP1		
																PHF6		
																TMEM57		
																CREB1		
																ZNF91		
																PRIMPOL		
																AC138356.2		
																MTF2		
																SETD4		
																FITM2		
																EFNA4		
																RTL6		
																CREB5		
																LPCAT4		
																ENG		
																TCF12		
																ITGAE		
																TNFRSF10B		
																TLE3		
																PAPLN		
																UNC119B		
																TBCA		
																TNFRSF1B		
																SNORA70G		
																GPR107		
																FGFR1		
																ZBTB40		
																MORC3		
																OTUD6B.AS1		
																SEC22C		
																MMRN2		
																MFN1		
																CHD9		
																CAB39L		
																FRK		
																PKNOX1		
																SAMD8		
																ATMIN		
																CSF1R		
																C1GALT1		
																ABHD2		
																ZNF570		
																LNPK		
																SNX24		
																CNOT10		
																MTR		
																PDE6B		
																POLR2A		
																WDR3		
																NCOA6		
																LNX1		
																CFLAR		
																LRIG2		
																ISLR		
																ELMOD2		
																DCTN1		
																ZC3H4		
																IREB2		
																B4GAT1		
																ATPAF2		
																CDCP1		
																ZNF234		
																RBBP6		
																ZNF667.AS1		
																POLR2D		
																MYCBP2		
																FAM114A2		
																UBXN7		
																EIF3B		
																PIK3R4		
																HBS1L		
																RRP36		
																ACYP1		
																ELOVL6		
																ZNF443		
																ZNF30		
																TRAF3IP1		
																ATP2C1		
																MAK16		
																SIKE1		
																COL1A1		
																ESCO1		
																POT1		
																RC3H2		
																PPP2R2A		
																VHL		
																IGF2R		
																TSPY26P		
																CTC1		
																PLCG1		
																ZNF557		
																SMURF2		
																MINDY3		
																NOL10		
																ZNF616		
																GALNT10		
																PSEN2		
																DNAJC13		
																DCBLD2		
																GLT8D2		
																SLC12A8		
																PDCD7		
																ZNF347		
																TAOK3		
																MYNN		
																MKLN1.AS		
																RBM17		
																THOC1		
																GTF2E2		
																GRSF1		
																SYNCRIP		
																MYO9A		
																ZNF620		
																ANKRD49		
																ZNF136		
																ZYG11B		
																NCKIPSD		
																AC003002.1		
																ITPR1		
																AP1G2		
																KAT7		
																NUBPL		
																ZNF281		
																AMOTL1		
																ZC3H14		
																FRAS1		
																PLEK2		
																ITGA1		
																ZNF589		
																CEP350		
																ZMYM5		
																CX3CR1		
																LAMC2		
																LMBR1L		
																CCDC50		
																ITGA8		
																CMTR1		
																RNF150		
																RBM28		
																SETD5		
																MTMR3		
																HECA		
																ANAPC10		
																PKHD1		
																EMC10		
																UPF2		
																ZMAT3		
																RABGGTB		
																IL1R1		
																KCTD21		
																ZNF436		
																DCAF12		
																MCU		
																FUT10		
																QTRT2		
																STAG1		
																SPTY2D1		
																EHD2		
																MED6		
																SNN		
																RPL23A		
																CCDC43		
																RSPH3		
																AFG3L2		
																BRMS1L		
																AKIRIN2		
																PYGL		
																MDM4		
																UBOX5		
																MFSD8		
																TCTN2		
																SH3BP4		
																ADIPOR1		
																SAP130		
																LCOR		
																GALNT7		
																LINC01532		
																SPATA13		
																MLLT3		
																YARS		
																SPDL1		
																TXNL4B		
																ANGPTL2		
																DNAL1		
																ASH2L		
																HSPA14		
																ALKBH2		
																TRMT12		
																MRAS		
																SHTN1		
																PMS1		
																ZNF252P		
																PIK3C3		
																ADIPOR2		
																BCL9		
																SLC30A9		
																SRR		
																RIPK2		
																BTBD6		
																VTI1A		
																TRAPPC13		
																ELOVL7		
																HEATR5B		
																UBE3B		
																CTDSPL2		
																SNHG16		
																AP001258.1		
																TCAIM		
																ZCCHC7		
																ZNF101		
																ENAH		
																TMA16		
																ENAM		
																FREM1		
																LINC01948		
																TTC5		
																ZNF343		
																SETDB1		
																DUSP10		
																TDP1		
																INO80D		
																COL4A4		
																BAZ2B		
																ZBTB5		
																OSMR		
																BAK1		
																SNORD38A		
																ZNF394		
																C3orf58		
																PEX12		
																PDGFB		
																LRR1		
																MTO1		
																KIF2A		
																AC011939.1		
																AL445472.1		
																RSBN1L		
																KLRG1		
																SWT1		
																ARIH2		
																COG8		
																PURB		
																BIN3		
																SUPT3H		
																LSM8		
																WDR59		
																GPATCH11		
																C12orf43		
																AC007996.1		
																POLR3B		
																ZKSCAN5		
																RFT1		
																PTTG1		
																BLOC1S6		
																ZNF816		
																ZNF573		
																PATL1		
																MTA3		
																REV1		
																CHL1		
																DYRK4		
																CDC27		
																ILF3		
																ERV3.1		
																TUBD1		
																SERTAD2		
																AC146507.2		
																CCNT1		
																SPAG4		
																PRRG4		
																TCEANC2		
																KIAA0907		
																ZC3H7A		
																RYBP		
																C15orf40		
																XPR1		
																KRIT1		
																ARHGEF6		
																CYLD		
																KAT6A		
																RPP38		
																AC036214.2		
																GALC		
																RPS26		
																MSANTD4		
																TLR5		
																ICAM1		
																ALG13		
																ANKRD42		
																NAAA		
																MBP		
																NLK		
																NANP		
																CDH3		
																USP36		
																UBE2Q1		
																TPM3P9		
																ZNF37A		
																AL138756.1		
																VIRMA		
																C11orf70		
																XRN1		
																CLPX		
																VPS33B		
																ZC2HC1C		
																MSL3		
																ZNF561		
																RUNDC1		
																SOS1		
																HELZ		
																EFHC1		
																TTC21B		
																ARL3		
																E2F4		
																MAML2		
																ZNF844		
																SCML1		
																FMNL2		
																NIPA2		
																B3GLCT		
																RBMS1		
																ZWILCH		
																NMNAT3		
																PPP2R5D		
																WDCP		
																AC013403.2		
																ECT2		
																NDUFAF7		
																RIF1		
																KMT2C		
																C12orf4		
																MED13		
																BBS7		
																MTX3		
																CSNK1A1		
																KMT2A		
																SH2B3		
																FGD4		
																ALKBH8		
																NEK11		
																C2orf49		
																AC005332.9		
																SMAD1		
																WDR70		
																FAM222B		
																ZNF396		
																TP53BP2		
																TP53BP1		
																ARRB1		
																VPS50		
																REV3L		
																WASHC2A		
																UBL7.AS1		
																TTC12		
																NEFH		
																TRIM33		
																SEMA4D		
																CDC42BPA		
																IFT172		
																OXNAD1		
																CSNK1G1		
																DPP8		
																DUSP16		
																RNASEK		
																WDR35		
																PTPN18		
																SPG11		
																VKORC1L1		
																C5AR1		
																ANKFY1		
																WDR11		
																SWSAP1		
																TRIM59		
																BTBD1		
																LMO7		
																AC117409.1		
																NMRK1		
																FAM204A		
																ZNF473		
																BRPF3		
																AC005736.1		
																ATG16L1		
																FILIP1L		
																AC009283.1		
																BARD1		
																PABPC4		
																SFMBT1		
																ESYT2		
																ORC2		
																SSPN		
																THAP11		
																PRPSAP2		
																C1orf43		
																BACE1		
																ZNF662		
																MTRF1		
																CEP85		
																DCP1B		
																ANKRD44		
																FAHD2A		
																ZNF75A		
																PBX1		
																DCAF1		
																PPP3CB		
																AMZ2P1		
																TCEA1		
																GNE		
																MRPL53P1		
																ATP7A		
																C16orf70		
																ZSCAN30		
																ZNF232		
																SLC23A2		
																PIM1		
																RNF135		
																CD27.AS1		
																MACF1		
																TGFBRAP1		
																ZNF649		
																CHST15		
																LRBA		
																NCKAP1		
																ALOX12.AS1		
																MGA		
																ZNF57		
																CELF2		
																MARK3		
																KLHDC2		
																MDM1		
																OPN1SW		
																AP001033.1		
																TOR3A		
																USP24		
																NPC1		
																FAM168A		
																SLC9A9		
																TRABD2B		
																C1orf74		
																DCLRE1B		
																FAM13C		
																CLEC4A		
																CD86		
																ZNF567		
																VPS8		
																TXNL1		
																BRD4		
																AMMECR1L		
																RBMXL1		
																ENTPD1		
																SREK1		
																CMC2		
																PRR14L		
																EHBP1		
																EPB41L2		
																ZMYM1		
																MED12		
																WDR77		
																AKAP8		
																TRAF4		
																ZMYM4		
																TOGARAM1		
																RASEF		
																NECTIN2		
																TLR4		
																RANBP10		
																DDI2		
																ZNF439		
																RPP14		
																FYCO1		
																ZNF737		
																RICTOR		
																ISCA1		
																CCDC32		
																COL4A5		
																AC136632.1		
																AL136295.7		
																NFATC2IP		
																FOXN3		
																MSL2		
																RNFT2		
																CDK5RAP2		
																HCG11		
																ACTN1		
																PAXIP1.AS2		
																RWDD3		
																RBM7		
																ANKRD13A		
																SYNE1		
																ABCC5		
																VPS72		
																NSMAF		
																TMEM55B		
																CCNL1		
																KCTD1		
																GNPTAB		
																CPSF2		
																NUP153		
																ZFP82		
																IQCD		
																SLC43A2		
																RBM11		
																COPS7B		
																MPRIP.AS1		
																SPEN		
																ZNF131		
																AC007637.1		
																CCDC127		
																NCAPD2		
																SLC37A3		
																SMTNL2		
																SRP68		
																IGSF3		
																SELENOI		
																KLLN		
																HPS5		
																CCDC77		
																EIF2B5		
																ZNF655		
																MED19		
																TDRD3		
																SPATS2		
																AC147055.1		
																OPA3		
																PUS7L		
																SEMA6A		
																CCDC18.AS1		
																UBR1		
																CCDC191		
																SRP19		
																MAGOHB		
																UGGT2		
																FAF1		
																DCUN1D3		
																EXOG		
																UIMC1		
																AC020612.1		
																LSM3		
																RNU2.53P		
																CAMTA1		
																FBXW2		
																SLC15A4		
																BTBD3		
																CIAPIN1P		
																ASXL2		
																ITGA3		
																RNGTT		
																ARFIP2		
																NAT9		
																SEH1L		
																SLC25A43		
																RFWD2		
																RLIM		
																MON1B		
																OSBPL2		
																ZNF451		
																CDKL5		
																STK32A		
																KRAS		
																RNF214		
																RSF1		
																NEK9		
																ZNF704		
																CLK4		
																NUP205		
																UTP15		
																PARVB		
																ZNRF3		
																SUCLG2.AS1		
																VPS13C		
																MTERF4		
																FGFR2		
																FLVCR2		
																KMT5B		
																KLHL36		
																ZNF555		
																NABP1		
																EHD4		
																GLIS3		
																KHSRP		
																TBPL1		
																MLLT11		
																ATP2A2		
																CLASP2		
																TTPAL		
																ANXA2P2		
																NR6A1		
																SNRPGP15		
																ZNF304		
																DENND5A		
																HIF1AN		
																RAB27A		
																EXT1		
																EIF2B2		
																LYRM4		
																FBXL12		
																RPRD1B		
																MORF4L1P1		
																APOBEC3F		
																RAPGEF2		
																ATP1A1.AS1		
																UBE4B		
																SDCBP2.AS1		
																SHQ1		
																SUPT20H		
																DMAP1		
																PRDM2		
																IMPACT		
																TMEM94		
																RASA1		
																ZNF268		
																NUMA1		
																PGBD2		
																DHX33		
																FCHSD2		
																SLC19A3		
																MMAA		
																MRPS36		
																ALG14		
																ATF7		
																TEX10		
																NFYC		
																USP30		
																ZNF77		
																KIZ		
																IMP3		
																LRTOMT		
																C18orf8		
																KDM2A		
																SPRY4		
																SLC25A14		
																SNHG3		
																ZNF41		
																DMTF1		
																CNTRL		
																ZNF827		
																ZFP3		
																IPO5P1		
																ZNF677		
																RBM43		
																AOAH		
																ORAI2		
																TSTD2		
																ICE2		
																OSBPL1A		
																ZBTB14		
																SNHG1		
																CARD8		
																RNF40		
																WDR44		
																ARID1B		
																AC010326.3		
																PCBD2		
																S100PBP		
																NXT1		
																VAPB		
																MAP2K4		
																CPED1		
																RASGRP1		
																SAMD9		
																ADAMTS9		
																TGFBI		
																ZNF267		
																CDCA8		
																RFTN1		
																GORASP1		
																SEPT4		
																TTC19		
																ZNF438		
																MLXIP		
																AP4B1		
																ZNF397		
																ZZZ3		
																ZNF680		
																UBR5		
																ZNF600		
																NGLY1		
																CDKN2C		
																POLB		
																MLLT10		
																MCM5		
																KPNA4		
																EFCAB7		
																Z98752.2		
																WFS1		
																CEP19		
																METTL6		
																PLD2		
																ZSCAN9		
																SUFU		
																TTC23		
																OLFML2A		
																TIRAP		
																ETFBKMT		
																SAP30L		
																ARPIN		
																MFSD9		
																C4orf46		
																SNAP29		
																ADAM17		
																ZNF140		
																USB1		
																TRIM25		
																PPM1M		
																NADSYN1		
																CAP1P2		
																NKTR		
																IQCG		
																ZNF227		
																PBK		
																CERS5		
																TMEM164		
																CEP68		
																FRMD8		
																DYNC2H1		
																RALGAPB		
																FAM126B		
																MRVI1		
																PBX3		
																ARHGAP25		
																APPBP2		
																ERLIN2		
																TMEM41A		
																IDS		
																NSD1		
																PDS5A		
																DIEXF		
																DHX32		
																POU2F1		
																CTPS2		
																SLC25A19		
																ALPK1		
																ZNF721		
																LRRC8B		
																DTX4		
																SSH1		
																PARP11		
																VCPIP1		
																TRAPPC11		
																AURKA		
																ZNF84		
																ZNF544		
																APOBEC3G		
																ZNF484		
																TRMT5		
																BCAS3		
																ZBTB33		
																ICE1		
																AP001434.1		
																METTL15		
																FOXK1		
																NARF		
																WDR26		
																VLDLR		
																NSUN6		
																PPFIA1		
																FAM161A		
																SLC17A4		
																UVRAG		
																USP51		
																TTC31		
																ITGB3		
																HCFC2		
																FARP2		
																AC073389.1		
																NDUFAF5		
																ZNF222		
																RBM45		
																ZNF614		
																ZDHHC13		
																SUV39H2		
																AGFG1		
																PLAA		
																TMEM237		
																RIMKLB		
																FAM183A		
																APCDD1L		
																ENC1		
																CARD6		
																CXorf38		
																PTCD2		
																EED		
																PSME4		
																ZNF548		
																UTP20		
																RPL23AP58		
																HYAL2		
																KPNA1		
																CACHD1		
																ZNF546		
																CD55		
																KDM5B		
																C1RL		
																APBB2		
																SUN1		
																HNRNPCP2		
																MKNK1		
																NSUN3		
																KCTD14		
																PHKG2		
																NEDD4		
																ZNHIT6		
																GPATCH3		
																AC010326.4		
																GMEB1		
																PDE4D		
																AZI2		
																ZDHHC3		
																HSD17B7		
																DUSP22		
																ZNF254		
																HERC5		
																DAPP1		
																IRAK4		
																PRKG1		
																GTPBP2		
																AC060780.1		
																FAR2		
																PRKD3		
																ZNF595		
																ERCC6L2		
																ELAC1		
																TFAP2A		
																SYTL2		
																COL15A1		
																RRP8		
																DTX3		
																CYP2R1		
																LINC00662		
																SLC36A1		
																HERC4		
																DUS2		
																EXOC8		
																SHROOM3		
																LATS2		
																CASP10		
																ANGEL2		
																LIMK2		
																ZNF230		
																MBTPS2		
																PPP3CC		
																ADAMTS9.AS2		
																ZNF17		
																PIH1D2		
																ANAPC4		
																METTL2B		
																OCRL		
																ZNF566		
																IFT81		
																MPHOSPH9		
																CUL7		
																BRD3		
																COQ7		
																PLXNA2		
																CSF1		
																AMMECR1		
																BHLHB9		
																CCDC69		
																FOXJ3		
																ZNF701		
																WDR37		
																GSTO2		
																FHL2		
																TAOK1		
																MERTK		
																THBS2		
																PHC3		
																DOCK9		
																PPAT		
																TMEM68		
																MMACHC		
																HSPBAP1		
																CSNK1D		
																ERMAP		
																LRIF1		
																PYGO2		
																TMEM87B		
																DCLRE1A		
																ZNF586		
																ZNF229		
																NCR3LG1		
																CEP89		
																ZNF354A		
																IFT20		
																MCOLN3		
																ALS2		
																AC023389.2		
																DESI1		
																FAM228B		
																ZNF214		
																SUMO1P4		
																SOX6		
																PCF11		
																RNF144A		
																MAP7D3		
																OTUD7B		
																GOLGA1		
																CSRNP2		
																KIAA0753		
																MECP2		
																DVL3		
																CAMKK2		
																VCAN		
																DIRC2		
																C5		
																STRIP1		
																NIPSNAP3B		
																LSM12		
																MOB3C		
																C9orf85		
																TNPO2		
																PLAGL2		
																NT5DC2		
																FADS1		
																EXOC6		
																DESI2		
																ERCC8		
																USP15		
																PCNX4		
																ZNF432		
																HOMEZ		
																MAD2L1		
																SEPT8		
																AC011477.1		
																RBM15B		
																HCAR2		
																NBEA		
																WDR19		
																CDC42EP4		
																MAP3K4		
																NR2F2.AS1		
																FOXJ2		
																GDPD1		
																POP4		
																LRP12		
																XPOT		
																ZNF485		
																WNK3		
																HEATR1		
																CEP95		
																HERC3		
																ANKRD50		
																ZFP90		
																DPH6		
																MED13L		
																TET2		
																EWSR1		
																PGM2L1		
																TMEM161B		
																PINLYP		
																JAM2		
																ENTPD4		
																CCDC66		
																CLCN6		
																MED14		
																EIF4ENIF1		
																RALY.AS1		
																MSH6		
																PPP2R2D		
																PLOD3		
																CDK13		
																EMX1		
																FDXACB1		
																ITGA5		
																RALGDS		
																ZFP1		
																RAVER2		
																ZNF398		
																LINC02035		
																ZNF845		
																ASTN2		
																DHX57		
																FBXO28		
																EIF4E		
																TMCO4		
																PROSER1		
																SAAL1		
																TDG		
																RABGAP1		
																FBXW7		
																GON4L		
																ZNF568		
																FAM160B1		
																MTAP		
																SYT17		
																ATXN2		
																C3orf52		
																ATP11B		
																LOXL1.AS1		
																PTPN9		
																TYSND1		
																DSC2		
																TAF1		
																PPRC1		
																SCYL3		
																RCOR1		
																LINC02427		
																MTOR		
																INPP5B		
																ITIH5		
																ASXL1		
																TMEM181		
																ADPGK		
																SLC9A6		
																PRKRIP1		
																ZFHX3		
																AC020663.3		
																RPRD1A		
																ELMOD3		
																F8		
																R3HDM1		
																INTS10		
																ERCC4		
																HEPH		
																CBLB		
																YLPM1		
																RPAP2		
																USP48		
																PPP1R3E		
																PAPOLG		
																PPP3CB.AS1		
																ABL2		
																CCDC113		
																C3orf62		
																AL390840.1		
																YY1AP1		
																FBLIM1		
																ITPRIPL2		
																WWC3		
																ALPK2		
																AL513302.2		
																ZNF808		
																GEMIN4		
																ZNF689		
																C8orf44		
																SATB1		
																SPEF2		
																THADA		
																DOCK11		
																AP003392.4		
																ADGRE5		
																CUL3		
																PIK3CD		
																LINS1		
																RNF115		
																DNASE1L1		
																MANSC1		
																ZNF345		
																EDA2R		
																TLDC1		
																U2AF1L4		
																PHYKPL		
																TCEANC		
																FBXO27		
																PLEKHH2		
																SPAAR		
																HSDL1		
																METTL22		
																XPO6		
																SEPT7.AS1		
																ZNF587		
																RALGAPA2		
																ENO2		
																ZNF134		
																RNF111		
																TIMELESS		
																XPO4		
																TMEM67		
																FLVCR1		
																NPR1		
																ZNF528		
																POLA1		
																UBA6.AS1		
																PATZ1		
																UBAP2		
																ZNF93		
																SLF2		
																ZBED3		
																METTL16		
																PALMD		
																FER		
																NBEAL1		
																BRD7		
																STK33		
																STXBP4		
																VANGL2		
																CHORDC1		
																ASAP1		
																IBA57		
																C9orf3		
																SMC6		
																PEX1		
																PCBP1.AS1		
																C21orf91		
																RNF8		
																SCAP		
																SNORA73		
																SMYD4		
																WDFY3		
																GMPS		
																KAT8		
																KIF27		
																LPIN1		
																N4BP1		
																RIBC1		
																ZNF461		
																AGK		
																TNRC6A		
																ARHGAP26		
																CBL		
																NOTCH2		
																TMEM131		
																ACACB		
																CHODL		
																DNAJC24		
																C2CD2		
																C10orf76		
																TBC1D8		
																STARD13		
																LIG3		
																DNAJC10		
																AP4M1		
																AC012467.2		
																CHD6		
																PIGCP1		
																RAPGEF5		
																PCED1B.AS1		
																ZNF836		
																NF1		
																EML1		
																JMJD6		
																ZNF462		
																GPATCH2		
																TAF1A		
																C5orf63		
																G2E3		
