pval	A	s.t..oConditionAKI	s.t..oConditionRef	gene	fdr
5.39804174337515e-216	0.0356677088698478	0	0	AC019068.1	1.66885858538186e-211
0	0.0886645179779744	0	0	AC019117.1	0
9.78112356995908e-97	0.179320129555258	0	0	AC019197.1	2.92758809572445e-92
2.73253529006039e-141	0.025732972541337	0	0.192850540298652	AC019205.1	8.32576177528499e-137
8.71671856459871e-17	0.0160979520017103	8.34111953471051e-05	0	AC020559.1	2.20585279995735e-12
2.99191072570776e-32	0.0257474758838786	2.17419321411616e-05	0.0240221073314563	AC020928.1	8.20890545812438e-28
1.09782612101066e-41	0.0382595837557279	0.00388138824911738	0	AC021231.1	3.09202726982652e-37
5.26004282909435e-191	0.0707934358237135	0	0	AC021594.2	1.61972498836302e-186
3.5349588716254e-109	0.0224241159047111	0	0.100310499678124	AC022075.1	1.06490636007715e-104
1.53069959566171e-76	0.0334937265140535	0	0.22795741888619	AC022146.2	4.51556380720206e-72
1.47417899872334e-249	0.0378937323152679	0	0	AC022424.1	4.57570419413736e-245
8.68303868955029e-26	0.0108034545498423	0	0.433576458482375	AC022558.2	2.32106307210369e-21
1.34576746418626e-59	0.0154983195123876	0	0.0125314626994378	AC022872.1	3.90339852987224e-55
5.39223327819909e-19	0.0145901604186003	0.000212580857559486	3.12856144091267e-06	AC022893.1	1.38558826316604e-14
9.50306368742905e-36	0.0131220521248535	0.00069557858286351	0.831175190002694	AC023389.1	2.63377410097096e-31
7.05868314557138e-133	0.0383880782298848	0	0.148827642810264	AC023590.1	2.14534556843351e-128
2.85479162540075e-23	0.0147599053927227	5.50739436099845e-05	9.80282875095995e-07	AC024022.1	7.53693537022051e-19
9.55552645913834e-11	0.010717652140406	2.83846809212562e-05	0.972705328173607	AC024230.1	2.25137758903758e-06
3.38612159578126e-12	0.0135129141586678	1.16881168142902e-05	0.0712756075054551	AC024901.1	8.15344219048171e-08
8.71680067319538e-88	0.0185885197495448	0	0	AC025580.2	2.5948172243968e-83
1.28805336983189e-106	0.0464271666864537	0	0	AC025627.1	3.87613900583511e-102
1.06876859255734e-167	0.0807998587280551	0	0	AC025810.1	3.27577573618826e-163
7.88430989777165e-35	0.0119869761885776	0	0.000242962298825367	AC026202.2	2.17993284363488e-30
1.00638028665695e-53	0.0221380707153013	0	0	AC026316.5	2.89354460019607e-49
6.81786253493219e-31	0.0105621923795015	0.00877996195357267	0.00630977844766828	AC026369.1	1.86100375753509e-26
1.74003640624682e-63	0.0301069094938046	0	0	AC026495.1	5.06890005503761e-59
1.06660741277099e-32	0.0134816364820446	1.16410990566584e-05	8.02608388428272e-06	AC026992.1	2.93103717029468e-28
2.44020046870982e-141	0.0515488281640556	7.48706002140498e-06	0	AC026992.2	7.43529082815883e-137
2.30243306228114e-105	0.0311015782827138	0	0.0284138738695091	AC027018.1	6.92479767811675e-101
0	0.337971463416539	0	0	AC027288.3	0
1.31301207814103e-111	0.0122677065158959	0	4.37836481070875e-06	AC027312.1	3.9613574397515e-107
1.99792944860715e-51	0.0178057577041579	0.000497959160866479	0.110854716770809	AC027458.1	5.72426766320433e-47
1.75862325145157e-33	0.053868729582633	9.82149500128315e-06	0	AC027644.4	4.84412774612335e-29
4.34528108767466e-85	0.0149220376672312	0	0.0033124173046275	AC027698.1	1.2912437280134e-80
2.43269995377004e-14	0.013560971000061	0.000206923460533193	0	AC027808.1	6.01047177577964e-10
6.68007466987776e-97	0.0410506981510645	1.31210975111706e-05	0	AC034114.2	1.99974715317461e-92
0	0.24022488657304	0	0	AC034195.1	0
2.46094638385932e-54	0.0459156675370176	0	0	AC046195.1	7.08235759810874e-50
1.96480195155355e-21	0.0373092483431002	0.00222037297346422	0	AC053527.1	5.13324157862881e-17
1.16273276122892e-50	0.0107033854688009	0	0.00861790107207794	AC058791.1	3.32704352298042e-46
1.72180082690508e-15	0.020213842079225	0	0.0370368114508923	AC058822.1	4.30484642742807e-11
1.26710600509053e-10	0.0152511447140055	4.5221176014909e-05	5.37826120922125e-06	AC064807.1	2.97959977097039e-06
0	0.0999417531704608	0	0.0904802847865346	AC068051.1	0
0	0.361985189288712	0	0	AC068234.1	0
3.13574988974561e-221	0.0471231342261484	0	0	AC068234.2	9.70012870893908e-217
3.36460103263113e-36	0.0121259587447663	0	0.434311864574042	AC068533.3	9.34046892668728e-32
8.50018026873657e-16	0.0205055897406039	0	0	AC068599.1	2.13159020599107e-11
6.97833264466442e-28	0.0146994275692714	0	1.80737049678692e-05	AC068875.1	1.88226566424534e-23
1.25265242314694e-37	0.0203109245999369	9.32759093468793e-05	0.458153038441092	AC068888.1	3.49277075146061e-33
1.3045738697401e-56	0.0212997145371033	0	0.290518876597706	AC068987.3	3.7681311653573e-52
2.8571878448443e-89	0.0116891114241234	0	3.38471990828926e-05	AC073218.1	8.51384834006703e-85
1.1453718537359e-60	0.012507274330581	0	0.251340417777395	AC073218.2	3.32581625169294e-56
4.74819214431169e-28	0.0123796266161547	0.000910754233094391	0.0413305706128975	AC073343.2	1.2817269874355e-23
5.18167896620144e-54	0.0318678783440269	0.000409829185418598	0	AC073486.1	1.49050995462785e-49
7.53172252221882e-12	0.0110953587855196	0.0050335796198982	0.0829886247486481	AC073529.1	1.80512793690018e-07
2.98554943605281e-69	0.0482198973632679	0.00125013612640867	1.92303969998031e-06	AC073569.2	8.75363094650683e-65
2.11705307261585e-13	0.0199800810299958	0	0	AC078850.2	5.18148739522729e-09
4.33972955901108e-24	0.019840484552006	0	2.00801518207561e-06	AC078864.1	1.15067929257179e-19
2.5387321337872e-60	0.0500492829140489	0	0	AC078923.1	7.3691777647441e-56
0	0.105350646658379	0	0	AC079298.3	0
4.65915354972485e-42	0.0110940299847072	0.00017818513462281	0	AC079380.1	1.31355516027393e-37
1.14119830613745e-144	0.0328257530880017	0	1.38372462760161e-06	AC079630.1	3.4805407138886e-140
4.62505875097069e-16	0.0199058581643211	0	0.0769959614646774	AC079760.2	1.16310977469411e-11
4.58835153179513e-23	0.0176243665067667	0.0078062685028924	0.0920840936376709	AC083798.2	1.21004006596501e-18
5.14472152878725e-54	0.0196185232617463	5.99462270017836e-06	2.0707510428597e-07	AC084125.4	1.47993059497094e-49
1.15697992307044e-114	0.0284032592996102	0	0	AC084816.1	3.49396366968042e-110
1.11278933360631e-46	0.013513160996678	2.20454165189565e-06	0.0116651641630102	AC087286.2	3.16477286477633e-42
0	0.29043834878315	0	0	AC087482.1	0
3.85615581219495e-27	0.0561462659141269	0	0	AC087564.1	1.03657324387613e-22
2.05686751656568e-26	0.0190269134990334	0.000141181405166835	1.864951444841e-05	AC087741.1	5.51343337815431e-22
0	0.535341315480202	0	0	AC087762.1	0
3.2212479261765e-49	0.026129361141454	0.000419860213240197	0	AC090150.1	9.19795132840437e-45
1.69646320654653e-33	0.0287122299577409	0.00132241767131658	2.07966118209724e-05	AC090517.4	4.67324719507372e-29
0	0.153157636638028	0	0.00232312496870224	AC090579.1	0
8.97884030197145e-191	0.0438589882055384	0	0	AC090630.1	2.76458492897701e-186
3.19627958916967e-28	0.0108286551929859	2.89893837005506e-05	0.0280663298807667	AC090673.1	8.63698670585429e-24
4.42616663640172e-21	0.0119316691685486	0	0.0627342459847254	AC091114.1	1.15421147377448e-16
1.21064312035609e-40	0.0100598071611802	0	0.8770966895902	AC091906.1	3.40239142544876e-36
3.5221828451953e-17	0.0166500141914723	0.00383502257416957	0.0169553400493716	AC091948.1	8.93648231482951e-13
6.71604113491969e-20	0.0142730903848173	0.00124745264937964	0.00879767997109127	AC092078.2	1.73696971872428e-15
2.80945575495065e-127	0.0347383872135137	0	0.00280063329231051	AC092118.1	8.52473159724677e-123
1.03046111699826e-56	0.0365159761805864	0	0.0228995021434942	AC092535.3	2.97689912089628e-52
9.84662806234063e-32	0.0102299565294157	0	0.645125128261455	AC092666.1	2.69610522974949e-27
1.12854631658171e-31	0.010220070097951	0	0.319198585233358	AC092839.1	3.08962125090575e-27
2.39423750443578e-161	0.0710239763725811	6.16953595283798e-06	0	AC092894.1	7.32828215357702e-157
4.30725714565192e-51	0.0446562729190796	0	4.55547369965226e-06	AC093152.1	1.23338308365743e-46
3.93834883678214e-35	0.0277336173659124	0.000158787636674651	0.0786277425175348	AC093157.1	1.08958358918415e-30
3.62793041114922e-147	0.073587018285433	0	0	AC093525.4	1.1070992442663e-142
1.4580185350027e-34	0.0170722664472601	7.8258705126788e-05	0.519070525769689	AC093525.6	4.02806780665196e-30
1.88431445321236e-60	0.0272752643246326	1.52477323694944e-06	1.93660796388162e-06	AC093525.7	5.47016485767549e-56
4.01162936327368e-37	0.0100164798613748	0	0.00223102265608455	AC093535.1	1.11691784732266e-32
7.06484794744116e-16	0.025056695966172	0	2.08325292078149e-06	AC093607.1	1.77299424088983e-11
3.24081310423923e-57	0.0192745848765076	0.000674392595527096	0	AC093725.2	9.37048700959731e-53
0	0.640675319605271	0	0	AC096577.1	0
1.35349924399542e-52	0.0342771386421016	0	0	AC096711.2	3.88400143056926e-48
2.41342488468657e-61	0.0299378469315501	0	0.00366217294350824	AC097059.1	7.01341271489918e-57
3.77521888699998e-15	0.0293073720335078	0.000127998106255411	0	AC097103.2	9.40784546640394e-11
1.52151482682465e-29	0.0465595625935859	0	0	AC097376.2	4.13304287558649e-25
7.98144567471841e-18	0.0140766377364859	0	0.00838912606578895	AC097662.1	2.03447050248572e-13
0	0.0996161603726475	0	0.00126028712728332	AC098617.1	0
1.25193404155827e-78	0.0328265663499704	0.00803876432564271	0	AC098828.3	3.70121780046287e-74
0	0.317068979010592	0	0	AC098829.1	0
1.71907568411528e-20	0.0232707869221179	0	2.69182892474462e-05	AC098850.3	4.46426764407896e-16
6.49949478668693e-26	0.0209374807483944	0	0.149753303286528	AC099669.1	1.73835487564729e-21
2.96834340858611e-96	0.0279189818512425	0	0	AC099788.1	8.88128347848965e-92
3.22562222523762e-235	0.0526937909780123	0	0	AC099792.1	9.99652583823392e-231
5.01303455119635e-24	0.0102277721969226	4.92543118920663e-05	0.998881738870993	AC100830.1	1.32870480779459e-19
1.91181618728617e-260	0.0730486901188982	0	0.0554596105185742	AC104035.1	5.94001289389813e-256
4.65807343685057e-24	0.0477934358570233	0	0	AC104123.1	1.23490184884345e-19
2.11240811029466e-204	0.0722201572800201	0	0	AC104170.1	6.51973639161344e-200
9.35321257961719e-171	0.0583617956067401	0	0.128044490378408	AC104365.1	2.86928502304917e-166
2.01032962596441e-52	0.0127873865170249	0	0.478668812781997	AC104532.2	5.76763569689188e-48
7.99484695360515e-16	0.0104297332897396	0	0.142504822210389	AC104827.1	2.00558730678139e-11
5.31520658074132e-66	0.0231142135141687	0.00891770777175438	0	AC104964.1	1.55278445049777e-61
8.23766158952278e-45	0.0341277478794447	4.47139476111857e-06	3.89204541112464e-06	AC105052.3	2.33405903477539e-40
5.62127145113958e-225	0.103981714320052	0	0	AC105094.2	1.7402894285583e-220
1.19069320981941e-230	0.367681092006673	0	0	AC105402.3	3.68841035605758e-226
3.95842704479774e-11	0.0120620210697026	0.00299158053832294	2.02467636600812e-06	AC105942.1	9.38345130969305e-07
6.31239416300325e-84	0.0126078254731061	0	0.0573907578065139	AC107021.1	1.87396045517077e-79
0	0.286656201141183	0	0	AC108062.1	0
5.82791498462674e-13	0.0113251939345884	0	0	AC109466.1	1.41810655320922e-08
7.73107408245754e-39	0.010704701717914	0	0.000574935158352941	AC110760.1	2.16207217790007e-34
1.89324076555134e-206	0.136053151407215	0	0	AC111000.4	5.84594883586943e-202
1.69647389970826e-79	0.0291814669427164	8.88172798075848e-05	0	AC113137.1	5.01783050055708e-75
1.11239137793208e-64	0.0238179308387963	0	0	AC113383.1	3.24506812770347e-60
0	0.118400393873998	0	0.0627889820332722	AC113386.1	0
0	0.222249999969361	0	0	AC113414.1	0
3.16334434321212e-169	0.054067921191704	0	0	AC114291.1	9.69881375628835e-165
7.34504349483605e-29	0.0316764194710262	0	0.000631504627744472	AC114689.3	1.99013953492583e-24
6.54696953933518e-36	0.0295960958693015	0	0	AC114763.1	1.81547465325765e-31
2.3326571625168e-109	0.0550701218660375	0	0	AC114812.2	7.02852929637937e-105
1.25067503382024e-53	0.0104917245266212	1.57250931125952e-05	0	AC116345.1	3.59519045221966e-49
1.74535708719695e-66	0.0351543921661507	0	0	AC116345.3	5.10115515875051e-62
2.17715043050412e-80	0.0550745540458701	0.000281583196556745	1.00953336181764e-05	AC116366.3	6.44327669907695e-76
1.00854070383629e-65	0.0256193627633152	0	0.520585025791813	AC117383.1	2.94584654183542e-61
1.06835358701284e-53	0.0101045293497447	0	0.183033832624808	AC117834.1	3.07151656266192e-49
6.32718537554732e-49	0.0803030109475072	0	4.60539433705387e-06	AC118549.1	1.80577870618121e-44
1.35357008871794e-27	0.0113392705461734	0	0.781967969822423	AC119868.2	3.64678853302387e-23
2.92781086035903e-119	0.0239537085880441	2.32545378592297e-06	0	AC123912.4	8.85897010127435e-115
1.10251480478056e-84	0.0207856478308897	0	0.00201164482508998	AC124254.1	3.27513047908113e-80
9.9746937524516e-13	0.029319512633387	0	0.000297787858477505	AC124312.1	2.41986070434476e-08
2.47571229474737e-106	0.0442234899782711	0	0	AC124854.1	7.4489231524359e-102
6.34805135580209e-83	0.0156203363975651	8.1076187264939e-06	0.0579885119520914	AC124861.1	1.88295899315802e-78
8.96590207502238e-25	0.0357719939462581	6.1063267930983e-06	0	AC127526.1	2.38439199783145e-20
7.72348213637982e-294	0.0997731937901905	0	0	AC128707.1	2.40640532923186e-289
1.19638450322506e-51	0.0172976848588306	0	0.82571365068364	AC131571.1	3.4287183477927e-47
4.51084677020504e-40	0.0132394593217823	3.08957098338336e-06	0.320165121779735	AC131934.1	1.26574360371953e-35
